"","temp","dewp","slp","wdsp","max","min","sndp","NUM_CRIMES"
"270",67.4,59.5,1019.5,6.3,75,60.1,0,802
"271",69.6,63.6,1015.6,4.3,77,61,0,753
"272",64.4,59.6,1014.9,9.6,77,57,0,670
"273",56.7,44.1,1021.7,14.3,68,53.1,0,678
"274",55.2,42.4,1025.3,14.5,61,52,0,889
"275",55,41.7,1027,16.4,60.1,51.1,0,799
"276",52.1,39.6,1024.1,16.3,60.1,48,0,709
"277",51.9,47.4,1022.4,11,57,48,0,654
"278",57,53.8,1021.7,6.8,60.1,50,0,755
"279",60.2,53.8,1020.6,4.5,71.1,55,0,752
"280",62,54.9,1019.9,6,71.1,55,0,718
"281",61.7,52.4,1016.9,6.8,77,50,0,701
"282",60.4,52.1,1017.1,9.9,77,50,0,795
"283",53.2,43.7,1022.1,4.2,64.9,42.1,0,729
"284",61.5,46.7,1010.9,9.3,79,42.1,0,735
"285",67.1,48.6,1000.7,12.4,79,51.1,0,732
"286",55.7,41.3,1003.7,13.4,75,48.9,0,741
"287",52.3,39.3,1013.3,6.9,63,42.1,0,764
"288",54.8,36.3,1015.5,8.9,69.1,42.1,0,816
"289",48.9,30,1022.7,9.7,69.1,42.1,0,734
"290",42.5,23.1,1029,9.2,55,33.1,0,706
"291",44.6,26.8,1030.5,3.9,60.1,33.1,0,675
"292",54.9,30.7,1022.5,13.9,73,33.1,0,788
"293",63.7,37.7,1017.5,11.5,73.9,45,0,785
"294",62.7,51.9,1018.5,8.8,75,52,0,794
"295",59.8,48.8,1022.3,6.7,75,52,0,774
"296",55,44.5,1022.4,9.3,62.1,51.1,0,777
"297",61.8,57.9,1011,12.1,66,52,0,765
"298",51.3,39.1,1024.9,5.8,66,41,0,728
"299",49.2,38.7,1028.6,3.6,62.1,37,0,781
"300",53.2,42.9,1023,9.4,61,37,0,651
"301",52.7,50.5,1002.9,12.6,55.9,44.1,0,682
"302",40.6,32.8,1003.6,16,55.9,36,0,669
"303",45.5,37,1017.5,5.8,55.9,36,0,776
"304",46.8,42.1,1014.1,9.4,55.9,36,0,721
"306",57.9,43.4,1014.3,8.4,72,44.1,0,785
"307",58.4,47.9,1017.7,6.2,72,44.1,0,749
"308",57.5,54.5,1018.9,6.6,71.1,44.1,0,791
"309",63.8,56.8,1015.7,10.5,71.1,48,0,755
"310",55.5,48.3,1012.1,16,70,44.1,0,747
"311",44.3,34.5,1023.9,9,64.9,36,0,691
"312",40.8,28.1,1029.7,4.3,53.1,28,0,705
"313",41.7,28.2,1025.3,2.6,55.9,28,0,684
"314",45.1,32.3,1019.7,2.3,55.9,28.9,0,640
"315",47.9,36.8,1012,8.8,63,32,0,688
"316",48.4,42,999,19.1,63,36,0,693
"317",41.7,27.6,1014.2,17.5,55.9,35.1,0,679
"318",38.9,26.1,1024,6.8,57,25,0,696
"319",52.5,33.5,1022.7,8.3,64,44.1,0,722
"320",51.6,35.8,1020.7,9.7,64,43,0,744
"321",51,48,1013.9,13.5,57.9,43,0,668
"322",58.4,50.7,1001.3,19.6,62.1,46.9,0,683
"323",44.6,31.7,1009.1,16.1,62.1,37.9,0,696
"324",35.9,17.5,1022.5,10,48,30.9,0,714
