"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"133",0,0,0,0,0,0,0,0,1,0,0,0,2015,58.8,35.1,69.1,45,0,824
"134",0,0,0,0,0,0,0,0,1,0,0,0,2015,61.8,35.6,80.1,46,0,798
"135",0,0,0,0,0,0,0,0,1,0,0,0,2015,66.1,49.3,80.1,46,0,687
"136",0,0,0,0,0,0,0,0,1,0,0,0,2015,70.4,62.1,78.1,59,0,708
"137",0,0,0,0,0,0,0,0,1,0,0,0,2015,70.6,62.5,78.1,64,0,770
"138",0,0,0,0,0,0,0,0,1,0,0,0,2015,68.4,59.1,73.9,64,0,738
"139",0,0,0,0,0,0,0,0,1,0,0,0,2015,69.5,54.3,82,54,0,800
"140",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.1,60.3,82,54,0,828
"141",0,0,0,0,0,0,0,0,1,0,0,0,2015,64.4,58.8,80.1,46.4,0,719
"142",0,0,0,0,0,0,0,0,1,0,0,0,2015,47.5,39.5,54,42.1,0,666
"143",0,0,0,0,0,0,1,0,0,0,0,0,2015,55.5,40.1,70,42.1,0,772
"144",0,0,0,0,0,0,1,0,0,0,0,0,2015,62.3,49.2,77,42.1,0,778
"145",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.2,56.7,81,50,0,721
"146",0,0,0,0,0,0,1,0,0,0,0,0,2015,65.3,56.7,80.1,55.4,0,786
"147",0,0,0,0,0,0,1,0,0,0,0,0,2015,60.1,50,70,51.8,0,758
"148",0,0,0,0,0,0,1,0,0,0,0,0,2015,65.7,57.7,81,52,0,739
"149",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.1,63.8,84,55,0,682
"150",0,0,0,0,0,0,1,0,0,0,0,0,2015,69.7,56.2,84.9,60.1,0,732
"151",0,0,0,0,0,0,1,0,0,0,0,0,2015,80.2,62.3,91.9,60.1,0,793
"152",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.9,57,75.9,63,0,804
"153",0,0,0,0,0,0,1,0,0,0,0,0,2015,61.5,59,72,57.9,0,828
"154",0,0,0,0,0,0,1,0,0,0,0,0,2015,66.1,60.5,84.9,55.4,0,813
"155",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.3,67.9,86,55.9,0,795
"156",0,0,0,0,0,0,1,0,0,0,0,0,2015,74.8,69.9,82.9,68,0,739
"157",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.6,58.7,80.1,64,0,847
"158",0,0,0,0,0,0,1,0,0,0,0,0,2015,61.3,51,72,55.9,0,722
"159",0,0,0,0,0,0,1,0,0,0,0,0,2015,71.6,65.4,79,55.9,0,768
"160",0,0,0,0,0,0,1,0,0,0,0,0,2015,60.8,50.8,79,54,0,774
"161",0,0,0,0,0,0,1,0,0,0,0,0,2015,62.8,53.5,78.1,53.1,0,766
"162",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.5,64.7,84,53.1,0,783
"163",0,0,0,0,0,0,1,0,0,0,0,0,2015,75.2,69.2,84,66,0,780
"164",0,0,0,0,0,0,1,0,0,0,0,0,2015,75.3,59.3,82.9,66,0,732
"165",0,0,0,0,0,0,1,0,0,0,0,0,2015,70.2,56.5,82,60.1,0,728
"166",0,0,0,0,0,0,1,0,0,0,0,0,2015,70.7,64,79,60.1,0,784
"167",0,0,0,0,0,0,1,0,0,0,0,0,2015,63.1,58.8,79,60.1,0,784
"168",0,0,0,0,0,0,1,0,0,0,0,0,2015,64,52.1,75.9,55.9,0,723
"169",0,0,0,0,0,0,1,0,0,0,0,0,2015,67.5,51,79,54,0,797
"170",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.1,61.6,79,54,0,752
