"","month","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"215","Aug",2015,78.2,66.1,90,64.9,0,808
"216","Aug",2015,76.6,66.7,91.9,66.9,0,826
"217","Aug",2015,78.7,69.1,91.9,66.9,0,865
"218","Aug",2015,78.6,67.1,89.1,68,0,741
"219","Aug",2015,73.6,66.8,88,66.9,0,762
"220","Aug",2015,71.7,63.2,82.9,66.9,0,793
"221","Aug",2015,64.8,52.9,75,59,0,839
"222","Aug",2015,68.7,53,82,55,0,858
"223","Aug",2015,72.1,56.7,82,55,0,845
"224","Aug",2015,71.5,58.6,81,60.1,0,806
"225","Aug",2015,65,49,77,55,0,724
"226","Aug",2015,63.4,48.2,75,55,0,767
"227","Aug",2015,61.9,52.4,72,55.9,0,792
"228","Aug",2015,63.1,52.3,75.9,51.1,0,764
"229","Aug",2015,65.5,56.8,75.9,51.1,0,806
"230","Aug",2015,67.6,63.2,72,55.9,0,761
"231","Aug",2015,68.4,63.9,77,63,0,800
"232","Aug",2015,71,64.2,84.9,60.1,0,745
"233","Sep",2015,80.3,69.4,90,68,0,801
"234","Sep",2015,81,68.3,91,72,0,875
"235","Sep",2015,74.4,66.8,91,68,0,815
"236","Sep",2015,75.4,67.3,87.1,68,0,767
"237","Sep",2015,79.9,66.6,91.9,69.1,0,818
"238","Sep",2015,81.5,66.9,91.9,70,0,808
"239","Sep",2015,77,69.6,88,70,0,717
"240","Sep",2015,70.2,60.4,81,66,0,711
"241","Sep",2015,64,56,77,54,0,659
"242","Sep",2015,61.9,56.5,73.9,54,0,691
"243","Sep",2015,57.6,45.8,66.9,52,0,724
"244","Sep",2015,58.1,44.5,70,48,0,734
"245","Sep",2015,65.3,48.8,82,48,0,791
"246","Sep",2015,72.9,53.9,82,52,0,813
"247","Sep",2015,70.5,52.8,82.9,55.9,0,766
"248","Sep",2015,71.7,58.5,84.9,55.9,0,717
"249","Sep",2015,72,67.2,84.9,61,0,791
"250","Sep",2015,65.5,57.4,73.9,57,0,792
"251","Sep",2015,60.4,48.6,73,50,0,811
"252","Sep",2015,62.1,49.4,73.9,50,0,735
"253","Sep",2015,64.6,51.5,80.1,52,0,777
"254","Sep",2015,68.2,52.1,80.1,53.1,0,833
"255","Sep",2015,66.7,56.6,80.1,55.9,0,718
"256","Sep",2015,65.5,59.6,75.9,55.9,0,811
"257","Sep",2015,67,58.5,75,60.1,0,792
"258","Sep",2015,67.4,59.5,75,60.1,0,802
"259","Sep",2015,69.6,63.6,77,61,0,753
"260","Sep",2015,64.4,59.6,77,57,0,670
"261","Sep",2015,56.7,44.1,68,53.1,0,678
"262","Oct",2015,55.2,42.4,61,52,0,889
"263","Oct",2015,55,41.7,60.1,51.1,0,799
"264","Oct",2015,52.1,39.6,60.1,48,0,709
"265","Oct",2015,51.9,47.4,57,48,0,654
"266","Oct",2015,57,53.8,60.1,50,0,755
"267","Oct",2015,60.2,53.8,71.1,55,0,752
"268","Oct",2015,62,54.9,71.1,55,0,718
"269","Oct",2015,61.7,52.4,77,50,0,701
"270","Oct",2015,60.4,52.1,77,50,0,795
"271","Oct",2015,53.2,43.7,64.9,42.1,0,729
"272","Oct",2015,61.5,46.7,79,42.1,0,735
"273","Oct",2015,67.1,48.6,79,51.1,0,732
"274","Oct",2015,55.7,41.3,75,48.9,0,741
"275","Oct",2015,52.3,39.3,63,42.1,0,764
"276","Oct",2015,54.8,36.3,69.1,42.1,0,816
"277","Oct",2015,48.9,30,69.1,42.1,0,734
"278","Oct",2015,42.5,23.1,55,33.1,0,706
"279","Oct",2015,44.6,26.8,60.1,33.1,0,675
"280","Oct",2015,54.9,30.7,73,33.1,0,788
"281","Oct",2015,63.7,37.7,73.9,45,0,785
"282","Oct",2015,62.7,51.9,75,52,0,794
"283","Oct",2015,59.8,48.8,75,52,0,774
"284","Oct",2015,55,44.5,62.1,51.1,0,777
"285","Oct",2015,61.8,57.9,66,52,0,765
"286","Oct",2015,51.3,39.1,66,41,0,728
"287","Oct",2015,49.2,38.7,62.1,37,0,781
"288","Oct",2015,53.2,42.9,61,37,0,651
"289","Oct",2015,52.7,50.5,55.9,44.1,0,682
"290","Oct",2015,40.6,32.8,55.9,36,0,669
"291","Oct",2015,45.5,37,55.9,36,0,776
"292","Oct",2015,46.8,42.1,55.9,36,0,721
"293","Nov",2015,57.9,43.4,72,44.1,0,785
"294","Nov",2015,58.4,47.9,72,44.1,0,749
"295","Nov",2015,57.5,54.5,71.1,44.1,0,791
"296","Nov",2015,63.8,56.8,71.1,48,0,755
"297","Nov",2015,55.5,48.3,70,44.1,0,747
"298","Nov",2015,44.3,34.5,64.9,36,0,691
"299","Nov",2015,40.8,28.1,53.1,28,0,705
"300","Nov",2015,41.7,28.2,55.9,28,0,684
"301","Nov",2015,45.1,32.3,55.9,28.9,0,640
"302","Nov",2015,47.9,36.8,63,32,0,688
"303","Nov",2015,48.4,42,63,36,0,693
"304","Nov",2015,41.7,27.6,55.9,35.1,0,679
"305","Nov",2015,38.9,26.1,57,25,0,696
"306","Nov",2015,52.5,33.5,64,44.1,0,722
"307","Nov",2015,51.6,35.8,64,43,0,744
"308","Nov",2015,51,48,57.9,43,0,668
"309","Nov",2015,58.4,50.7,62.1,46.9,0,683
"310","Nov",2015,44.6,31.7,62.1,37.9,0,696
"311","Nov",2015,35.9,17.5,48,30.9,0,714
"312","Nov",2015,31.9,29.5,39.9,27,9.1,528
"313","Nov",2015,19.1,13.2,33.1,7,5.9,520
"314","Nov",2015,28.4,22,37,7,5.1,650
"315","Nov",2015,31.6,26.8,41,21,3.9,607
"316","Nov",2015,38.3,30.9,48.9,21,3.1,620
"317","Nov",2015,52,46.4,60.1,48,3.9,589
"318","Nov",2015,45.5,42.5,60.1,34,0,613
"319","Nov",2015,34.7,28.5,37.9,32,0,658
"320","Nov",2015,32.7,25.7,41,25,0,612
"321","Nov",2015,40.1,31.7,44.1,25,0,668
"322","Dec",2015,41.6,36,44.1,37.9,0,797
"323","Dec",2015,34.8,31,39.9,30.2,0,716
"324","Dec",2015,33,28.4,37.9,30,0,710
"325","Dec",2015,36.6,32.2,46.9,30,0,700
"326","Dec",2015,35.8,32.1,46.9,28.9,0,707
"327","Dec",2015,35.8,31.6,46.9,27,0,687
"328","Dec",2015,33.7,32,46.9,27,0,689
"329","Dec",2015,40,36.6,46,27,0,733
"330","Dec",2015,46,40.7,52,37.9,0,685
"331","Dec",2015,48.3,38.4,57,39.9,0,690
"332","Dec",2015,45.9,35.1,57,41,0,742
"333","Dec",2015,49.7,45.2,57,41,0,752
"334","Dec",2015,55,52.9,61,46.4,0,652
"335","Dec",2015,54.7,51.1,61,46,0,739
"336","Dec",2015,41.3,35.8,61,39,0,793
"337","Dec",2015,43.3,38.4,53.1,39,0,722
"338","Dec",2015,33.4,24,53.1,28.9,0,728
"339","Dec",2015,27.7,17.1,32,24.8,0,653
"340","Dec",2015,23.3,12.8,32,15.1,0,666
"341","Dec",2015,34.2,23,50,15.1,0,693
"342","Dec",2015,46.3,40.1,52,42.1,0,650
"343","Dec",2015,39.3,37.3,52,35.1,0,694
"344","Dec",2015,47.1,45.5,59,35.1,0,754
"345","Dec",2015,42.1,34.5,59,34,0,675
"346","Dec",2015,39.1,34.8,44.1,32,0,640
"347","Dec",2015,38.4,36,42.8,35.1,0,627
"348","Dec",2015,33.5,27.4,36,30.2,2,516
"349","Dec",2015,33.5,31.1,39,30,1.2,624
"350","Dec",2015,28.8,23.6,39,27,2,603
"351","Dec",2015,27,21.3,0,0,2,611
"352","Jan",2016,27,19.4,32,19,1.2,576
"353","Jan",2016,26.8,19.3,32,21.9,1.2,618
"354","Jan",2016,26.9,18.5,30.9,21.9,1.2,626
"355","Jan",2016,25.5,17,33.1,17.1,1.2,627
"356","Jan",2016,28.3,20.9,36,17.1,1.2,628
"357","Jan",2016,36,26.4,41,21.2,1.2,707
"358","Jan",2016,38.5,34.2,42.1,34,1.2,743
"359","Jan",2016,37.1,36.6,42.1,32,1.2,650
"360","Jan",2016,19,14.2,39.9,6.1,1.2,597
"361","Jan",2016,5.1,-1.6,23,-0.9,1.2,513
"362","Jan",2016,14,7.1,24.1,-0.9,3.1,548
"363","Jan",2016,6.7,-0.8,21,-2,2,654
"364","Jan",2016,30.6,23.7,42.1,21,1.2,734
"365","Jan",2016,39.9,35.4,44.1,24.3,2,734
"366","Jan",2016,28.4,21.3,43,24.1,0,652
"367","Jan",2016,7.5,-3,30,1,0,537
"368","Jan",2016,0.6,-9.9,9,-4,0,515
"369","Jan",2016,5.8,-4.7,17.1,-4,0,610
"370","Jan",2016,16.7,9.2,23,0,1.2,619
"371","Jan",2016,19,12.8,28.9,9,1.2,634
"372","Jan",2016,23.7,18.3,30.2,18,0,701
"373","Jan",2016,27.8,21,33.1,19,0,722
"374","Jan",2016,27.1,19,34,24.1,0,675
"375","Jan",2016,30.6,25.2,39.9,24.1,0,744
"376","Jan",2016,32.7,28.5,41,24.3,0,640
"377","Jan",2016,27.6,17.5,37,23,0,669
"378","Jan",2016,34.1,26.7,39,23,0,751
"379","Jan",2016,28.3,14.4,39,19.9,0,746
"380","Jan",2016,37.5,29.1,46,21.9,0,743
"381","Jan",2016,42.2,38.5,48,35.1,0,665
"382","Feb",2016,36,31.1,48,30.9,0,853
"383","Feb",2016,34.5,31.6,45,30,0,614
"384","Feb",2016,35.6,33.4,37.4,30.9,0,682
"385","Feb",2016,26.7,18,37,19,0,670
"386","Feb",2016,28.9,20.8,34,21,0,660
"387","Feb",2016,30.5,23.1,41,24.1,0,695
"388","Feb",2016,37.6,29.1,43,25,0,617
"389","Feb",2016,30.9,24.9,43,27,0,570
"390","Feb",2016,19.3,12.6,32,15.1,1.2,545
"391","Feb",2016,13.6,3.4,21,9,1.2,565
"392","Feb",2016,13,0.2,21,7,1.2,582
"393","Feb",2016,19.1,6.3,23,7,0,647
"394","Feb",2016,9.4,-7.7,23,1.9,0,597
"395","Feb",2016,13.9,2.2,18,3,2,514
"396","Feb",2016,20.7,17.9,27,9,2,553
"397","Feb",2016,27.5,21.9,33.1,18,1.2,625
"398","Feb",2016,28.4,20.3,34,23,1.2,641
"399","Feb",2016,29.6,21.5,42.1,21,1.2,681
"400","Feb",2016,47.5,35.3,62.1,39,0,775
"401","Feb",2016,49.1,32,62.1,41,0,702
"402","Feb",2016,39.6,31.6,57,35.1,0,707
"403","Feb",2016,35.1,27.1,44.1,26.1,0,639
"404","Feb",2016,35.6,26.1,45,26.1,0,630
"405","Feb",2016,34.8,27.3,45,26.2,2,578
"406","Feb",2016,33.4,23.9,37,30.2,1.2,699
"407","Feb",2016,31.1,16.4,37,24.1,0,740
"408","Feb",2016,36.7,24.3,54,26.1,0,692
"409","Feb",2016,51.7,36,61,46,0,624
"410","Feb",2016,40.8,30.6,62.1,32,0,646
"411","Mar",2016,28.3,23.2,33.1,21,1.2,817
"412","Mar",2016,20.6,6.8,32,10.9,1.2,608
"413","Mar",2016,30.1,24.1,33.8,27,1.2,617
"414","Mar",2016,30.1,19.1,39,19.9,1.2,704
"415","Mar",2016,33.5,28.4,39,19.9,1.2,700
"416","Mar",2016,38.8,29.1,52,29.1,1.2,714
"417","Mar",2016,51.3,39.9,63,34,0,795
"418","Mar",2016,61.8,49.6,70,46,0,723
"419","Mar",2016,61.1,55.1,70,57,0,679
"420","Mar",2016,49,40.9,63,45,0,716
"421","Mar",2016,42.7,34.4,55,34,0,733
"422","Mar",2016,43.3,36.6,59,33.1,0,746
"423","Mar",2016,46.8,42.8,59,33.1,0,628
"424","Mar",2016,46.9,44.1,54,42.8,0,684
"425","Mar",2016,49.5,45.2,57.9,43,0,713
"426","Mar",2016,52.6,42.1,57.9,46,0,745
"427","Mar",2016,47.4,29.3,55.9,39.9,0,738
"428","Mar",2016,41.3,27.6,55.9,32,0,791
"429","Mar",2016,38.5,30.4,48.9,33.1,0,699
"430","Mar",2016,36.8,25.7,46,30,0,685
"431","Mar",2016,38.4,23.6,48.9,28,0,699
