"","temp","dewp","slp","wdsp","NUM_CRIMES"
"385",16.7,9.2,1027.1,3.5,619
"386",19,12.8,1027.3,2.9,634
"387",23.7,18.3,1025.9,7.5,701
"388",27.8,21,1023.6,6.4,722
"389",27.1,19,1016.7,7.6,675
"390",30.6,25.2,1011.5,6.8,744
"391",32.7,28.5,1011.5,14.4,640
"392",27.6,17.5,1022.4,10,669
"393",34.1,26.7,1006.8,13.8,751
"394",28.3,14.4,1012.9,9.5,746
"395",37.5,29.1,1005.3,9.7,743
"396",42.2,38.5,1002.4,6.5,665
"397",36,31.1,1014.1,5.5,853
"398",34.5,31.6,1016.9,9.8,614
"399",35.6,33.4,1002,9.9,682
"400",26.7,18,1020.9,9.9,670
"401",28.9,20.8,1026.5,6.2,660
"402",30.5,23.1,1025.4,6.9,695
"403",37.6,29.1,1013.2,10.5,617
"404",30.9,24.9,1005.9,9.1,570
"405",19.3,12.6,1010.4,12.2,545
"406",13.6,3.4,1016.9,11.2,565
"407",13,0.2,1024.8,7.2,582
"408",19.1,6.3,1023.6,10.8,647
"409",9.4,-7.7,1034.1,11.7,597
"410",13.9,2.2,1029.3,8.3,514
"411",20.7,17.9,1014.3,7.3,553
"412",27.5,21.9,1010.5,3.8,625
"413",28.4,20.3,1021,6.3,641
"414",29.6,21.5,1027.3,9.5,681
"415",47.5,35.3,1006.7,22.5,775
"416",49.1,32,1009.9,14.1,702
"417",39.6,31.6,1018.1,8.2,707
"418",35.1,27.1,1022.1,3.4,639
"419",35.6,26.1,1019.9,4.5,630
"420",34.8,27.3,1010.9,16.6,578
"421",33.4,23.9,1010.9,16.4,699
"422",31.1,16.4,1023,9.4,740
"423",36.7,24.3,1016.4,10.7,692
"424",51.7,36,1002.8,16.9,624
"425",40.8,30.6,1009.8,14.1,646
"426",28.3,23.2,1013.2,15.1,817
"427",20.6,6.8,1020.3,7.6,608
"428",30.1,24.1,1019,6.7,617
"429",30.1,19.1,1021.7,6,704
"430",33.5,28.4,1019.3,8.2,700
"431",38.8,29.1,1022.2,9.2,714
"432",51.3,39.9,1012.2,13,795
