"","month","year","temp","dewp","NUM_CRIMES"
"233","Sep",2015,80.3,69.4,801
"234","Sep",2015,81,68.3,875
"235","Sep",2015,74.4,66.8,815
"236","Sep",2015,75.4,67.3,767
"237","Sep",2015,79.9,66.6,818
"238","Sep",2015,81.5,66.9,808
"239","Sep",2015,77,69.6,717
"240","Sep",2015,70.2,60.4,711
"241","Sep",2015,64,56,659
"242","Sep",2015,61.9,56.5,691
"243","Sep",2015,57.6,45.8,724
"244","Sep",2015,58.1,44.5,734
"245","Sep",2015,65.3,48.8,791
"246","Sep",2015,72.9,53.9,813
"247","Sep",2015,70.5,52.8,766
"248","Sep",2015,71.7,58.5,717
"249","Sep",2015,72,67.2,791
"250","Sep",2015,65.5,57.4,792
"251","Sep",2015,60.4,48.6,811
"252","Sep",2015,62.1,49.4,735
"253","Sep",2015,64.6,51.5,777
"254","Sep",2015,68.2,52.1,833
"255","Sep",2015,66.7,56.6,718
"256","Sep",2015,65.5,59.6,811
"257","Sep",2015,67,58.5,792
"258","Sep",2015,67.4,59.5,802
"259","Sep",2015,69.6,63.6,753
"260","Sep",2015,64.4,59.6,670
"261","Sep",2015,56.7,44.1,678
"262","Oct",2015,55.2,42.4,889
"263","Oct",2015,55,41.7,799
"264","Oct",2015,52.1,39.6,709
"265","Oct",2015,51.9,47.4,654
"266","Oct",2015,57,53.8,755
"267","Oct",2015,60.2,53.8,752
"268","Oct",2015,62,54.9,718
"269","Oct",2015,61.7,52.4,701
"270","Oct",2015,60.4,52.1,795
"271","Oct",2015,53.2,43.7,729
"272","Oct",2015,61.5,46.7,735
"273","Oct",2015,67.1,48.6,732
"274","Oct",2015,55.7,41.3,741
"275","Oct",2015,52.3,39.3,764
"276","Oct",2015,54.8,36.3,816
"277","Oct",2015,48.9,30,734
"278","Oct",2015,42.5,23.1,706
"279","Oct",2015,44.6,26.8,675
"280","Oct",2015,54.9,30.7,788
"281","Oct",2015,63.7,37.7,785
"282","Oct",2015,62.7,51.9,794
"283","Oct",2015,59.8,48.8,774
"284","Oct",2015,55,44.5,777
"285","Oct",2015,61.8,57.9,765
"286","Oct",2015,51.3,39.1,728
"287","Oct",2015,49.2,38.7,781
"288","Oct",2015,53.2,42.9,651
"289","Oct",2015,52.7,50.5,682
"290","Oct",2015,40.6,32.8,669
"291","Oct",2015,45.5,37,776
"292","Oct",2015,46.8,42.1,721
"293","Nov",2015,57.9,43.4,785
"294","Nov",2015,58.4,47.9,749
"295","Nov",2015,57.5,54.5,791
"296","Nov",2015,63.8,56.8,755
"297","Nov",2015,55.5,48.3,747
"298","Nov",2015,44.3,34.5,691
"299","Nov",2015,40.8,28.1,705
"300","Nov",2015,41.7,28.2,684
"301","Nov",2015,45.1,32.3,640
"302","Nov",2015,47.9,36.8,688
"303","Nov",2015,48.4,42,693
"304","Nov",2015,41.7,27.6,679
"305","Nov",2015,38.9,26.1,696
"306","Nov",2015,52.5,33.5,722
"307","Nov",2015,51.6,35.8,744
"308","Nov",2015,51,48,668
"309","Nov",2015,58.4,50.7,683
"310","Nov",2015,44.6,31.7,696
"311","Nov",2015,35.9,17.5,714
"312","Nov",2015,31.9,29.5,528
"313","Nov",2015,19.1,13.2,520
"314","Nov",2015,28.4,22,650
"315","Nov",2015,31.6,26.8,607
"316","Nov",2015,38.3,30.9,620
"317","Nov",2015,52,46.4,589
"318","Nov",2015,45.5,42.5,613
"319","Nov",2015,34.7,28.5,658
"320","Nov",2015,32.7,25.7,612
"321","Nov",2015,40.1,31.7,668
"322","Dec",2015,41.6,36,797
"323","Dec",2015,34.8,31,716
"324","Dec",2015,33,28.4,710
"325","Dec",2015,36.6,32.2,700
"326","Dec",2015,35.8,32.1,707
"327","Dec",2015,35.8,31.6,687
"328","Dec",2015,33.7,32,689
"329","Dec",2015,40,36.6,733
"330","Dec",2015,46,40.7,685
