"","temp","dewp","max","min","NUM_CRIMES"
"239",63.1,52.3,75.9,51.1,764
"240",65.5,56.8,75.9,51.1,806
"241",67.6,63.2,72,55.9,761
"242",68.4,63.9,77,63,800
"243",71,64.2,84.9,60.1,745
"244",77.7,69.9,88,60.1,955
"245",80.3,69.4,90,68,801
"246",81,68.3,91,72,875
"247",74.4,66.8,91,68,815
"248",75.4,67.3,87.1,68,767
"249",79.9,66.6,91.9,69.1,818
"250",81.5,66.9,91.9,70,808
"251",77,69.6,88,70,717
"252",70.2,60.4,81,66,711
"253",64,56,77,54,659
"254",61.9,56.5,73.9,54,691
"255",57.6,45.8,66.9,52,724
"256",58.1,44.5,70,48,734
"257",65.3,48.8,82,48,791
"258",72.9,53.9,82,52,813
"259",70.5,52.8,82.9,55.9,766
"260",71.7,58.5,84.9,55.9,717
"261",72,67.2,84.9,61,791
"262",65.5,57.4,73.9,57,792
"263",60.4,48.6,73,50,811
"264",62.1,49.4,73.9,50,735
"265",64.6,51.5,80.1,52,777
"266",68.2,52.1,80.1,53.1,833
"267",66.7,56.6,80.1,55.9,718
"268",65.5,59.6,75.9,55.9,811
"269",67,58.5,75,60.1,792
"270",67.4,59.5,75,60.1,802
"271",69.6,63.6,77,61,753
"272",64.4,59.6,77,57,670
"273",56.7,44.1,68,53.1,678
"274",55.2,42.4,61,52,889
"275",55,41.7,60.1,51.1,799
"276",52.1,39.6,60.1,48,709
"277",51.9,47.4,57,48,654
"278",57,53.8,60.1,50,755
"279",60.2,53.8,71.1,55,752
"280",62,54.9,71.1,55,718
"281",61.7,52.4,77,50,701
"282",60.4,52.1,77,50,795
"283",53.2,43.7,64.9,42.1,729
"284",61.5,46.7,79,42.1,735
"285",67.1,48.6,79,51.1,732
"286",55.7,41.3,75,48.9,741
"287",52.3,39.3,63,42.1,764
"288",54.8,36.3,69.1,42.1,816
"289",48.9,30,69.1,42.1,734
"290",42.5,23.1,55,33.1,706
"291",44.6,26.8,60.1,33.1,675
"292",54.9,30.7,73,33.1,788
"293",63.7,37.7,73.9,45,785
"294",62.7,51.9,75,52,794
"295",59.8,48.8,75,52,774
"296",55,44.5,62.1,51.1,777
"297",61.8,57.9,66,52,765
"298",51.3,39.1,66,41,728
"299",49.2,38.7,62.1,37,781
"300",53.2,42.9,61,37,651
"301",52.7,50.5,55.9,44.1,682
"302",40.6,32.8,55.9,36,669
"303",45.5,37,55.9,36,776
"304",46.8,42.1,55.9,36,721
"305",52.7,43,63,44.1,996
"306",57.9,43.4,72,44.1,785
"307",58.4,47.9,72,44.1,749
"308",57.5,54.5,71.1,44.1,791
"309",63.8,56.8,71.1,48,755
"310",55.5,48.3,70,44.1,747
"311",44.3,34.5,64.9,36,691
"312",40.8,28.1,53.1,28,705
"313",41.7,28.2,55.9,28,684
"314",45.1,32.3,55.9,28.9,640
"315",47.9,36.8,63,32,688
"316",48.4,42,63,36,693
"317",41.7,27.6,55.9,35.1,679
"318",38.9,26.1,57,25,696
"319",52.5,33.5,64,44.1,722
"320",51.6,35.8,64,43,744
"321",51,48,57.9,43,668
"322",58.4,50.7,62.1,46.9,683
"323",44.6,31.7,62.1,37.9,696
