"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","sndp","NUM_CRIMES"
"141",0,0,0,0,0,0,0,0,1,0,0,0,2015,64.4,58.8,0,719
"142",0,0,0,0,0,0,0,0,1,0,0,0,2015,47.5,39.5,0,666
"143",0,0,0,0,0,0,1,0,0,0,0,0,2015,55.5,40.1,0,772
"144",0,0,0,0,0,0,1,0,0,0,0,0,2015,62.3,49.2,0,778
"145",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.2,56.7,0,721
"146",0,0,0,0,0,0,1,0,0,0,0,0,2015,65.3,56.7,0,786
"147",0,0,0,0,0,0,1,0,0,0,0,0,2015,60.1,50,0,758
"148",0,0,0,0,0,0,1,0,0,0,0,0,2015,65.7,57.7,0,739
"149",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.1,63.8,0,682
"150",0,0,0,0,0,0,1,0,0,0,0,0,2015,69.7,56.2,0,732
"151",0,0,0,0,0,0,1,0,0,0,0,0,2015,80.2,62.3,0,793
"152",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.9,57,0,804
"153",0,0,0,0,0,0,1,0,0,0,0,0,2015,61.5,59,0,828
"154",0,0,0,0,0,0,1,0,0,0,0,0,2015,66.1,60.5,0,813
"155",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.3,67.9,0,795
"156",0,0,0,0,0,0,1,0,0,0,0,0,2015,74.8,69.9,0,739
"157",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.6,58.7,0,847
"158",0,0,0,0,0,0,1,0,0,0,0,0,2015,61.3,51,0,722
"159",0,0,0,0,0,0,1,0,0,0,0,0,2015,71.6,65.4,0,768
"160",0,0,0,0,0,0,1,0,0,0,0,0,2015,60.8,50.8,0,774
"161",0,0,0,0,0,0,1,0,0,0,0,0,2015,62.8,53.5,0,766
"162",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.5,64.7,0,783
"163",0,0,0,0,0,0,1,0,0,0,0,0,2015,75.2,69.2,0,780
"164",0,0,0,0,0,0,1,0,0,0,0,0,2015,75.3,59.3,0,732
"165",0,0,0,0,0,0,1,0,0,0,0,0,2015,70.2,56.5,0,728
"166",0,0,0,0,0,0,1,0,0,0,0,0,2015,70.7,64,0,784
"167",0,0,0,0,0,0,1,0,0,0,0,0,2015,63.1,58.8,0,784
"168",0,0,0,0,0,0,1,0,0,0,0,0,2015,64,52.1,0,723
"169",0,0,0,0,0,0,1,0,0,0,0,0,2015,67.5,51,0,797
"170",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.1,61.6,0,752
"171",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.1,61.4,0,749
