"","month","year","temp","dewp","sndp","NUM_CRIMES"
"272","Oct",2015,61.5,46.7,0,735
"273","Oct",2015,67.1,48.6,0,732
"274","Oct",2015,55.7,41.3,0,741
"275","Oct",2015,52.3,39.3,0,764
"276","Oct",2015,54.8,36.3,0,816
"277","Oct",2015,48.9,30,0,734
"278","Oct",2015,42.5,23.1,0,706
"279","Oct",2015,44.6,26.8,0,675
"280","Oct",2015,54.9,30.7,0,788
"281","Oct",2015,63.7,37.7,0,785
"282","Oct",2015,62.7,51.9,0,794
"283","Oct",2015,59.8,48.8,0,774
"284","Oct",2015,55,44.5,0,777
"285","Oct",2015,61.8,57.9,0,765
"286","Oct",2015,51.3,39.1,0,728
"287","Oct",2015,49.2,38.7,0,781
"288","Oct",2015,53.2,42.9,0,651
"289","Oct",2015,52.7,50.5,0,682
"290","Oct",2015,40.6,32.8,0,669
"291","Oct",2015,45.5,37,0,776
"292","Oct",2015,46.8,42.1,0,721
"293","Nov",2015,57.9,43.4,0,785
"294","Nov",2015,58.4,47.9,0,749
"295","Nov",2015,57.5,54.5,0,791
"296","Nov",2015,63.8,56.8,0,755
"297","Nov",2015,55.5,48.3,0,747
"298","Nov",2015,44.3,34.5,0,691
"299","Nov",2015,40.8,28.1,0,705
"300","Nov",2015,41.7,28.2,0,684
"301","Nov",2015,45.1,32.3,0,640
"302","Nov",2015,47.9,36.8,0,688
"303","Nov",2015,48.4,42,0,693
"304","Nov",2015,41.7,27.6,0,679
"305","Nov",2015,38.9,26.1,0,696
"306","Nov",2015,52.5,33.5,0,722
"307","Nov",2015,51.6,35.8,0,744
"308","Nov",2015,51,48,0,668
"309","Nov",2015,58.4,50.7,0,683
"310","Nov",2015,44.6,31.7,0,696
"311","Nov",2015,35.9,17.5,0,714
"312","Nov",2015,31.9,29.5,9.1,528
"313","Nov",2015,19.1,13.2,5.9,520
"314","Nov",2015,28.4,22,5.1,650
"315","Nov",2015,31.6,26.8,3.9,607
"316","Nov",2015,38.3,30.9,3.1,620
"317","Nov",2015,52,46.4,3.9,589
"318","Nov",2015,45.5,42.5,0,613
"319","Nov",2015,34.7,28.5,0,658
"320","Nov",2015,32.7,25.7,0,612
"321","Nov",2015,40.1,31.7,0,668
"322","Dec",2015,41.6,36,0,797
"323","Dec",2015,34.8,31,0,716
"324","Dec",2015,33,28.4,0,710
"325","Dec",2015,36.6,32.2,0,700
"326","Dec",2015,35.8,32.1,0,707
"327","Dec",2015,35.8,31.6,0,687
"328","Dec",2015,33.7,32,0,689
"329","Dec",2015,40,36.6,0,733
"330","Dec",2015,46,40.7,0,685
"331","Dec",2015,48.3,38.4,0,690
"332","Dec",2015,45.9,35.1,0,742
"333","Dec",2015,49.7,45.2,0,752
"334","Dec",2015,55,52.9,0,652
"335","Dec",2015,54.7,51.1,0,739
"336","Dec",2015,41.3,35.8,0,793
"337","Dec",2015,43.3,38.4,0,722
"338","Dec",2015,33.4,24,0,728
"339","Dec",2015,27.7,17.1,0,653
"340","Dec",2015,23.3,12.8,0,666
"341","Dec",2015,34.2,23,0,693
"342","Dec",2015,46.3,40.1,0,650
"343","Dec",2015,39.3,37.3,0,694
"344","Dec",2015,47.1,45.5,0,754
"345","Dec",2015,42.1,34.5,0,675
"346","Dec",2015,39.1,34.8,0,640
"347","Dec",2015,38.4,36,0,627
"348","Dec",2015,33.5,27.4,2,516
"349","Dec",2015,33.5,31.1,1.2,624
"350","Dec",2015,28.8,23.6,2,603
"351","Dec",2015,27,21.3,2,611
"352","Jan",2016,27,19.4,1.2,576
"353","Jan",2016,26.8,19.3,1.2,618
"354","Jan",2016,26.9,18.5,1.2,626
"355","Jan",2016,25.5,17,1.2,627
"356","Jan",2016,28.3,20.9,1.2,628
"357","Jan",2016,36,26.4,1.2,707
"358","Jan",2016,38.5,34.2,1.2,743
"359","Jan",2016,37.1,36.6,1.2,650
"360","Jan",2016,19,14.2,1.2,597
"361","Jan",2016,5.1,-1.6,1.2,513
"362","Jan",2016,14,7.1,3.1,548
"363","Jan",2016,6.7,-0.8,2,654
"364","Jan",2016,30.6,23.7,1.2,734
"365","Jan",2016,39.9,35.4,2,734
"366","Jan",2016,28.4,21.3,0,652
"367","Jan",2016,7.5,-3,0,537
"368","Jan",2016,0.6,-9.9,0,515
"369","Jan",2016,5.8,-4.7,0,610
"370","Jan",2016,16.7,9.2,1.2,619
"371","Jan",2016,19,12.8,1.2,634
"372","Jan",2016,23.7,18.3,0,701
"373","Jan",2016,27.8,21,0,722
"374","Jan",2016,27.1,19,0,675
"375","Jan",2016,30.6,25.2,0,744
"376","Jan",2016,32.7,28.5,0,640
"377","Jan",2016,27.6,17.5,0,669
"378","Jan",2016,34.1,26.7,0,751
"379","Jan",2016,28.3,14.4,0,746
"380","Jan",2016,37.5,29.1,0,743
"381","Jan",2016,42.2,38.5,0,665
"382","Feb",2016,36,31.1,0,853
"383","Feb",2016,34.5,31.6,0,614
"384","Feb",2016,35.6,33.4,0,682
"385","Feb",2016,26.7,18,0,670
"386","Feb",2016,28.9,20.8,0,660
"387","Feb",2016,30.5,23.1,0,695
"388","Feb",2016,37.6,29.1,0,617
"389","Feb",2016,30.9,24.9,0,570
"390","Feb",2016,19.3,12.6,1.2,545
"391","Feb",2016,13.6,3.4,1.2,565
"392","Feb",2016,13,0.2,1.2,582
"393","Feb",2016,19.1,6.3,0,647
"394","Feb",2016,9.4,-7.7,0,597
"395","Feb",2016,13.9,2.2,2,514
"396","Feb",2016,20.7,17.9,2,553
"397","Feb",2016,27.5,21.9,1.2,625
"398","Feb",2016,28.4,20.3,1.2,641
"399","Feb",2016,29.6,21.5,1.2,681
"400","Feb",2016,47.5,35.3,0,775
"401","Feb",2016,49.1,32,0,702
"402","Feb",2016,39.6,31.6,0,707
"403","Feb",2016,35.1,27.1,0,639
"404","Feb",2016,35.6,26.1,0,630
"405","Feb",2016,34.8,27.3,2,578
"406","Feb",2016,33.4,23.9,1.2,699
"407","Feb",2016,31.1,16.4,0,740
"408","Feb",2016,36.7,24.3,0,692
"409","Feb",2016,51.7,36,0,624
"410","Feb",2016,40.8,30.6,0,646
"411","Mar",2016,28.3,23.2,1.2,817
"412","Mar",2016,20.6,6.8,1.2,608
"413","Mar",2016,30.1,24.1,1.2,617
"414","Mar",2016,30.1,19.1,1.2,704
"415","Mar",2016,33.5,28.4,1.2,700
"416","Mar",2016,38.8,29.1,1.2,714
"417","Mar",2016,51.3,39.9,0,795
"418","Mar",2016,61.8,49.6,0,723
"419","Mar",2016,61.1,55.1,0,679
"420","Mar",2016,49,40.9,0,716
"421","Mar",2016,42.7,34.4,0,733
"422","Mar",2016,43.3,36.6,0,746
"423","Mar",2016,46.8,42.8,0,628
"424","Mar",2016,46.9,44.1,0,684
"425","Mar",2016,49.5,45.2,0,713
"426","Mar",2016,52.6,42.1,0,745
"427","Mar",2016,47.4,29.3,0,738
"428","Mar",2016,41.3,27.6,0,791
"429","Mar",2016,38.5,30.4,0,699
"430","Mar",2016,36.8,25.7,0,685
"431","Mar",2016,38.4,23.6,0,699
"432","Mar",2016,47.8,31.3,0,722
"433","Mar",2016,41.6,35.3,0,686
"434","Mar",2016,37.1,35.9,0,677
"435","Mar",2016,34.5,26.5,0,717
"436","Mar",2016,40.1,31.9,0,735
