"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","NUM_CRIMES"
"202",0,0,0,0,0,1,0,0,0,0,0,0,2015,78.2,56.4,782
"203",0,1,0,0,0,0,0,0,0,0,0,0,2015,79.6,65.4,822
"204",0,1,0,0,0,0,0,0,0,0,0,0,2015,75.7,60.1,729
"205",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.2,53.5,761
"206",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.7,55.6,772
"207",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.3,60.6,809
"208",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.2,59.3,839
"209",0,1,0,0,0,0,0,0,0,0,0,0,2015,75.3,62.6,849
"210",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.8,65.9,745
"211",0,1,0,0,0,0,0,0,0,0,0,0,2015,75.1,67.7,809
"212",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.9,62.3,791
"213",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.2,56.8,760
"214",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.8,60.4,784
"215",0,1,0,0,0,0,0,0,0,0,0,0,2015,78.2,66.1,808
"216",0,1,0,0,0,0,0,0,0,0,0,0,2015,76.6,66.7,826
"217",0,1,0,0,0,0,0,0,0,0,0,0,2015,78.7,69.1,865
"218",0,1,0,0,0,0,0,0,0,0,0,0,2015,78.6,67.1,741
"219",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.6,66.8,762
"220",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.7,63.2,793
"221",0,1,0,0,0,0,0,0,0,0,0,0,2015,64.8,52.9,839
"222",0,1,0,0,0,0,0,0,0,0,0,0,2015,68.7,53,858
"223",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.1,56.7,845
"224",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.5,58.6,806
"225",0,1,0,0,0,0,0,0,0,0,0,0,2015,65,49,724
"226",0,1,0,0,0,0,0,0,0,0,0,0,2015,63.4,48.2,767
"227",0,1,0,0,0,0,0,0,0,0,0,0,2015,61.9,52.4,792
"228",0,1,0,0,0,0,0,0,0,0,0,0,2015,63.1,52.3,764
"229",0,1,0,0,0,0,0,0,0,0,0,0,2015,65.5,56.8,806
"230",0,1,0,0,0,0,0,0,0,0,0,0,2015,67.6,63.2,761
"231",0,1,0,0,0,0,0,0,0,0,0,0,2015,68.4,63.9,800
"232",0,1,0,0,0,0,0,0,0,0,0,0,2015,71,64.2,745
"233",0,0,0,0,0,0,0,0,0,0,0,1,2015,80.3,69.4,801
"234",0,0,0,0,0,0,0,0,0,0,0,1,2015,81,68.3,875
"235",0,0,0,0,0,0,0,0,0,0,0,1,2015,74.4,66.8,815
"236",0,0,0,0,0,0,0,0,0,0,0,1,2015,75.4,67.3,767
"237",0,0,0,0,0,0,0,0,0,0,0,1,2015,79.9,66.6,818
"238",0,0,0,0,0,0,0,0,0,0,0,1,2015,81.5,66.9,808
"239",0,0,0,0,0,0,0,0,0,0,0,1,2015,77,69.6,717
"240",0,0,0,0,0,0,0,0,0,0,0,1,2015,70.2,60.4,711
"241",0,0,0,0,0,0,0,0,0,0,0,1,2015,64,56,659
"242",0,0,0,0,0,0,0,0,0,0,0,1,2015,61.9,56.5,691
"243",0,0,0,0,0,0,0,0,0,0,0,1,2015,57.6,45.8,724
"244",0,0,0,0,0,0,0,0,0,0,0,1,2015,58.1,44.5,734
"245",0,0,0,0,0,0,0,0,0,0,0,1,2015,65.3,48.8,791
"246",0,0,0,0,0,0,0,0,0,0,0,1,2015,72.9,53.9,813
"247",0,0,0,0,0,0,0,0,0,0,0,1,2015,70.5,52.8,766
"248",0,0,0,0,0,0,0,0,0,0,0,1,2015,71.7,58.5,717
"249",0,0,0,0,0,0,0,0,0,0,0,1,2015,72,67.2,791
"250",0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,57.4,792
"251",0,0,0,0,0,0,0,0,0,0,0,1,2015,60.4,48.6,811
"252",0,0,0,0,0,0,0,0,0,0,0,1,2015,62.1,49.4,735
"253",0,0,0,0,0,0,0,0,0,0,0,1,2015,64.6,51.5,777
"254",0,0,0,0,0,0,0,0,0,0,0,1,2015,68.2,52.1,833
"255",0,0,0,0,0,0,0,0,0,0,0,1,2015,66.7,56.6,718
"256",0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,59.6,811
"257",0,0,0,0,0,0,0,0,0,0,0,1,2015,67,58.5,792
"258",0,0,0,0,0,0,0,0,0,0,0,1,2015,67.4,59.5,802
"259",0,0,0,0,0,0,0,0,0,0,0,1,2015,69.6,63.6,753
"260",0,0,0,0,0,0,0,0,0,0,0,1,2015,64.4,59.6,670
"261",0,0,0,0,0,0,0,0,0,0,0,1,2015,56.7,44.1,678
"262",0,0,0,0,0,0,0,0,0,0,1,0,2015,55.2,42.4,889
"263",0,0,0,0,0,0,0,0,0,0,1,0,2015,55,41.7,799
"264",0,0,0,0,0,0,0,0,0,0,1,0,2015,52.1,39.6,709
"265",0,0,0,0,0,0,0,0,0,0,1,0,2015,51.9,47.4,654
"266",0,0,0,0,0,0,0,0,0,0,1,0,2015,57,53.8,755
"267",0,0,0,0,0,0,0,0,0,0,1,0,2015,60.2,53.8,752
